"field_key","section","field_type","zh-CN","en-US","notes"
"root.title","metadata","title","《变量城夜巡》Demo 前瞻：五章夜巡、变量构筑与下一步计划","Variable City Nightwatch Demo Preview: Five Chapters, Builds, and the Road Ahead","Steam event title"
"root.summary","metadata","summary","这一篇用于 Demo 上线前说明当前可玩范围、我们希望玩家重点反馈的内容，以及接下来会继续打磨的 Steam 化路线。","This pre-demo announcement sets expectations for the playable scope, the feedback we are looking for, and the Steam release work still ahead.","Steam event summary or subtitle"
"root.opening","body","paragraph","各位夜班调试员好。《变量城夜巡》正在从网页试玩版逐步整理成 Steam Demo。我们已经把五章主线、章节练习、构筑系统、Boss 阶段、暂停设置、本地存档、成就草案、商店素材和桌面发行壳串成同一套流程。","Hello, night-shift debuggers. Variable City Nightwatch is moving from a web-playable build toward a Steam Demo. The current pipeline now connects five playable chapters, chapter practice, build choices, boss phases, pause and settings, local saves, achievement drafts, store assets, and a desktop shell.","Opening paragraph"
"section.0.heading","section_1","heading","Demo 当前会重点展示什么","What the Demo Is Built to Show","Section 1 heading"
"section.0.body","section_1","paragraph","试玩核心是五个章节的连续夜巡：第一章办公室会展示地图物件和办公异常，后续章节会切换到环线站台、哈希夜市、承诺塔和白箱核心。敌人不只是数值变化，而是带有护盾、分裂、延迟爆发、路线封锁、污染地面和节奏攻击等机制。","The demo path focuses on five compact nightwatch chapters. The office, metro platform, hash market, promise tower, and whitebox core each use different map props, hazards, interaction points, and enemy mixes instead of simple palette swaps.","Section 1 body"
"section.1.heading","section_2","heading","构筑和 Boss 是这次的重点","Builds and Boss Readability","Section 2 heading"
"section.1.body","section_2","paragraph","玩家可以围绕武器、变量祝福、概念共鸣和局内升级来搭配路线。Boss 会有不同阶段、攻击节奏和弱点窗口，我们希望每场战斗都能被看懂、被躲开，也能被玩家通过构筑反制。","Weapons, variable blessings, concept resonance, and in-run upgrades are meant to create visible build differences. Bosses use phases, attack rhythms, and weak windows so fights can be read, dodged, and countered through player choices.","Section 2 body"
"section.2.heading","section_3","heading","我们最想听到的反馈","What Feedback Helps Most","Section 3 heading"
"section.2.body","section_3","paragraph","欢迎重点反馈三件事：地图是否足够好读，敌人机制是否有趣且公平，构筑选择是否能带来明显差异。也欢迎指出卡关、拾取不到目标、控制不顺、音效过强或视觉提示不清楚的地方。","The most useful feedback right now is whether maps are readable, enemy mechanics feel strange but fair, and build choices change how a run plays. Reports about blocked progression, missing pickups, controls, audio balance, or unclear visual warnings are also especially helpful.","Section 3 body"
"roadmap.0","roadmap","bullet","修复桌面版 Electron 二进制安装阻塞，并完成自动窗口 smoke test。","Resolve the Electron binary install blocker and pass the automated desktop smoke test.","Roadmap bullet 1"
"roadmap.1","roadmap","bullet","继续压测五章流程，检查通关路线、存档恢复、性能和资源缺失。","Stress-test the five-chapter route, save recovery, performance, and missing asset checks.","Roadmap bullet 2"
"roadmap.2","roadmap","bullet","补充 Steam Input、成就接入、Steam Cloud 实测和首版宣传片。","Add Steam Input, Steam achievements, Steam Cloud validation, and a first gameplay trailer.","Roadmap bullet 3"
"feedback.0","feedback","bullet","Steam 社区讨论区：用于收集版本反馈和玩家问题。","Steam community discussions for version feedback and player questions.","Feedback channel 1"
"feedback.1","feedback","bullet","GitHub Pages 试玩页：用于验证网页试玩版本是否仍然可玩。","The GitHub Pages web build for checking whether the browser demo remains playable.","Feedback channel 2"
"feedback.2","feedback","bullet","后续 Steam Demo 页面：用于集中记录桌面版兼容性反馈。","The future Steam Demo page for desktop compatibility feedback.","Feedback channel 3"
"root.closing","body","paragraph","谢谢你愿意陪这座变量城市继续夜巡。我们会把每轮改动尽量做成可验证、可回放、能被玩家实际感受到的进步。","Thank you for walking the night shift with us. Each update should be verifiable, replayable, and visible in the actual game.","Closing paragraph"
